Time[s], MOSI, MISO, SCLK, CSC
6.224986374999999, 0, 1, 0, 0
6.224986625000000, 0, 1, 1, 0
6.224986875000000, 0, 1, 0, 0
6.224987000000000, 0, 1, 1, 0
6.224987250000000, 0, 1, 0, 0
6.224987500000000, 0, 1, 1, 0
6.224987749999999, 0, 1, 0, 0
6.224988000000000, 0, 1, 1, 0
6.224988124999999, 0, 1, 0, 0
6.224988375000000, 0, 1, 1, 0
6.224988625000000, 0, 1, 0, 0
6.224989874999999, 0, 1, 0, 1
6.225211625000000, 0, 1, 0, 0
6.225212249999999, 0, 1, 1, 0
6.225212500000000, 0, 1, 0, 0
6.225212750000000, 0, 1, 1, 0
6.225213000000000, 0, 1, 0, 0
6.225213249999999, 0, 1, 1, 0
6.225213375000000, 0, 1, 0, 0
6.225213624999999, 0, 1, 1, 0
6.225213875000000, 0, 1, 0, 0
6.225214125000000, 0, 1, 1, 0
6.225214250000000, 0, 1, 0, 0
6.225214500000000, 1, 1, 1, 0
6.225214750000000, 1, 1, 0, 0
6.225214999999999, 1, 1, 1, 0
6.225215250000000, 1, 1, 0, 0
6.225215374999999, 1, 1, 1, 0
6.225215625000000, 1, 1, 0, 0
6.225216750000000, 0, 1, 1, 0
6.225217000000000, 0, 1, 0, 0
6.225217250000000, 0, 1, 1, 0
6.225217499999999, 0, 1, 0, 0
6.225217625000000, 0, 1, 1, 0
6.225217874999999, 0, 1, 0, 0
6.225218125000000, 0, 1, 1, 0
6.225218375000000, 0, 1, 0, 0
6.225218500000000, 0, 1, 1, 0
6.225218750000000, 0, 1, 0, 0
6.225219000000000, 0, 1, 1, 0
6.225219249999999, 0, 1, 0, 0
6.225219500000000, 0, 1, 1, 0
6.225219624999999, 0, 1, 0, 0
6.225219875000000, 1, 1, 1, 0
6.225220125000000, 1, 1, 0, 0
6.225221125000000, 0, 1, 1, 0
6.225221374999999, 0, 1, 0, 0
6.225221625000000, 0, 1, 1, 0
6.225221875000000, 0, 1, 0, 0
6.225222000000000, 0, 1, 1, 0
6.225222250000000, 0, 1, 0, 0
6.225222500000000, 0, 1, 1, 0
6.225222749999999, 0, 1, 0, 0
6.225223000000000, 0, 1, 1, 0
6.225223124999999, 0, 1, 0, 0
6.225223375000000, 0, 1, 1, 0
6.225223625000000, 0, 1, 0, 0
6.225223874999999, 0, 1, 1, 0
6.225224000000000, 0, 1, 0, 0
6.225224250000000, 0, 1, 1, 0
6.225224499999999, 0, 1, 0, 0
6.225225750000000, 0, 1, 0, 1
6.225623250000000, 0, 1, 0, 0
6.225624000000000, 0, 1, 1, 0
6.225624125000000, 0, 1, 0, 0
6.225624375000000, 0, 1, 1, 0
6.225624625000000, 0, 1, 0, 0
6.225624874999999, 0, 1, 1, 0
6.225625000000000, 0, 1, 0, 0
6.225625249999999, 0, 1, 1, 0
6.225625500000000, 0, 1, 0, 0
6.225625750000000, 0, 1, 1, 0
6.225626000000000, 0, 1, 0, 0
6.225626125000000, 1, 1, 1, 0
6.225626375000000, 1, 1, 0, 0
6.225626624999999, 1, 1, 1, 0
6.225626875000000, 1, 1, 0, 0
6.225626999999999, 1, 1, 1, 0
6.225627250000000, 1, 1, 0, 0
6.225628374999999, 0, 1, 1, 0
6.225628625000000, 0, 1, 0, 0
